12-31 	11388	0	可爱的农业银行1分钱就能开心的玩一天，织布机中的织布机[胜利]	可爱的农业银行1分钱就能开心的玩一天，织布机中的织布机	
04-16 	8248	0	问君心里几多凉 ，恰似满仓大银行。	哎！一言难尽……一言难尽呀……最近抽空去十几家银行营业网点看了看，立刻就明白了银行股，尤其大型银行不涨的原因了。多数网点门可罗雀、柜员闲得玩手机、仅有几个退休和吃低保的老头老太太在取低保金或退休工资，几乎没有人办理别的业务。与大堂经理交流，存款流失，利差收窄，坏账窜升，利润增长率为零，拨备覆盖率下调到了监管红线150%，网贷众筹网购等等网络金融冲击巨大……悔不当初！没听银行朋友忠言，满仓建行工行等几家银行股深套 ，心里拔凉拔凉的。真希望银行股来几个涨停让咱解套走人，从此终身不再碰倒霉晦气的银行股！！！现在理解了证金汇金为什么在这么低的市盈率市净率时还要大幅减持银行股了。只可恨已经被深套，悔之晚矣。只有等分红了。	
04-16 	7612	0	南京大学一些教授不学无术	特别是一些物理的教授没有水平，还喜欢装逼不给学生发论文不让学生毕业真是TM的畜生考研，不要考南大物理，切记	
04-16 	6277	0	为什么没有1季度信贷同比增长27%的置顶话题	2015年1季度3.6万亿 2016年1季度4.6万亿	
04-16 	11227	0	一个散户在河边漫步，中国证监会的官员走过去警示说，站在河边很危险，掉进河里后果自	一个散户在河边漫步，中国证监会的官员走过去警示说，站在河边很危险，掉进河里后果自负。散户不服：我站在河边关你什么事?并继续往前走了一小步。证监会拉出了财政部的官员并上去猛地踹了散户一脚，散户应声落水。看着河中冒出的气泡，证监会的官员得意地说：叫你小心你不听，这下出事了吧?”	
04-15 	13585	0	买农行，正国风，短期分红，长期养老，还有机会中奖，	买农行，正国风，短期分红，长期养老，还有机会中奖，	
04-15 	10206	0	又可以分红，又可以打新股，资金也安全，一举三得，我们肯定要加仓了	现在股票，马上就要分红了【买农业银行，民生银行，宁波银行】又可以分红，又可以打新股，资金也安全，一举三得，我们肯定要加仓了	
04-15 	11610	0	大家都不要卖农业银行的股票了河北信盈收购了农业银行后面农业银行要大涨的	河北信盈出资1.8万亿收购了农业银行全部股权这是自从有了股市第一次这么大规模的股权收购战真的。农业银行肯定上100元的、	
04-15 	9342	0	又可以分红，又可以打新股，	又可以分红，又可以打新股，现在银行股，马上就要分红了【买农业银行，民生银行，宁波银行】又可以分红，又可以打新股，资金也安全，一举三得，我们肯定要加仓了	
04-15 	9004	0	ST博元都退市了还比农行股价高近45%	ST博元都退市了还比农行股价高近45%，这真是世界级的奇闻，仅凭这一条，中国股市真的有点没希望了。	
04-15 	8159	0	佣金万分之2.5，大资金做T，每天2分收益，有人这么操作么？讨论一下	佣金万分之2.5，大资金做T，每天2分收益，有人这么操作么？讨论一下	
04-15 	7383	0	一进入市场，我就不管他大神小神与真神，我只晓得每波行情都整神	一进入市场，我就不管他大神小神与真神，我只晓得每波行情都整神	
04-15 	8778	0	双汇发展10派12.5元-多年分红6%率远高于理财和存款	双汇发展10派12.5元-多年分红6%率远高于理财和存款分红率在所有上市公司中最高-按现价分红率超过6%！还有1元总价回购大股东130万股注销！降低总股本！	
04-15 	12641	0	我是李大傻，我买了农业银行挨套后就经常在媒体忽悠大家来帮我早日解套，我老是认为我	我是李大傻，我买了农业银行挨套后就经常在媒体忽悠大家来帮我早日解套，我老是认为我是很聪明的人。	
04-15 	8424	0	几手几十手才是真正的成交量，多可怜电，上万亿的市值就这么被玩坏了，大家每天看得真	几手几十手才是真正的成交量，多可怜电，上万亿的市值就这么被玩坏了，大家每天看得真为控盘的脸红	
04-15 	9288	0	小盘银行被春风吹动了，大银行估计下午或者下周也要动了	小盘银行被春风吹动了，大银行估计下午或者下周也要动了	
04-15 	10594	0	中国建筑面临最大一次国企改革 上市以来最大机遇！	国企改革决定中国建筑未来的命运 唯有良好业绩护航才能推进我估计中国建筑一季报0.25-0.26元 净利润增30%！【中国建筑一个季度的业绩超过中国中冶全年的业绩！601668应该分拆！】靓丽一季度业绩可以预期公告各方面增长20%多。2016年一季度相对于2015年一季度，还有以下利好：* 全面实施2015年的4次总计1%的降息，这就是说，盈利剧增。** 中国海外发展和中国建筑国际将对中国建筑业绩分红。中国建筑，只有年报和季报都好，才可以推进国企改革！	
04-15 	9217	1	我宣布我今天开盘买进30000万股农业银行，吹牛不用交税。	我宣布我今天开盘买进30000万股农业银行，吹牛不用交税。	无所无呢，方正今天银行会托盘 
04-15 	10948	0	现在股票，马上就要分红了	现在股票，马上就要分红了【买农业银行，民生银行，宁波银行】又可以分红，又可以打新股，资金也安全，一举三得，我们肯定要加仓了	
04-15 	32342	0	农业银行早盘内参（4.15）	【板块掘金】 充电桩概念：近年来，国内新能源汽车发展迅猛，俗称“快充”的直流充电桩已经遍布高速公路、停车场。2016年充电桩投资增速500%，设备企业投资价值凸显。建议重点关注：数源科技、通合科技、中恒电气、和顺电气、北巴传媒。移动电竞：下周一，全国首届移动电竞大赛将正式启动。根据赛程，选手经过预选赛和晋级赛，将在7月进行总决赛并取得最终名次。作为国内首个官方移动电竞赛事，大赛受到业界强烈关注。可继续关注的上市公司包括：浙报传媒、博瑞传播、莱茵体育、万家文化、恺英网络、盛天网络。油气改革：继电力领域之后，石油天然气领域体制改革渐行渐近。目前深化石油天然气体制改革的若干意见已上报国务院，出台在即，而涉及准入门槛设置等具体问题的配套政策也在制定中，目前还存在诸多争议。受益标的有：上海石化、重庆燃气、东华能源、卫星石化、鼎龙股份、安诺其、广汇能源、洲际油气。【公司新闻】江南化工：监事配偶窗口期购买公司股票遭监管。一汽轿车：一季度预亏超4亿元。钱江摩托：首季度净利润同比预增约六倍。红相电力：2015年净利增26%，拟10派1.9转22.东方财富：拟5000万元投资设立保险代理公司。新美星：网上定价发行中签率0.0246%。吉祥航空：去年净利增145%，拟10转10派6元。扬子新材：披露重组方案，永达汽车作价120亿借壳。神州高铁：去年净利1.85亿，同比增逾20倍。杉杉股份：年报拟10转10并派现，净利大增九成。中船集团：高科技资产有望注入钢构工程。如果你对手中个股接下来的走势还不能一目了然，不妨点我的头像或资料，本人对金融感兴趣可以提供免费帮助，给你一个解套的操作思路！不为别的，都是从股市亏钱过来的，不希望你们再盲目亏钱，仅仅是希望给迷茫的股民一盏较为明亮的指路灯，避免让大家走太多弯路。	
04-15 	12182	0	河北信盈太厉害了不声不向偷偷出自1.8万亿收购了农业银行	大家看看私募、公募基金、再看看券商、这些无能的王八们、那个比河北信盈厉害啊一家独大出资1.8万亿彻底收购了农业银行、这次收购农业银行要上180元的、中国股市成立以来这是最大的股权收购战打响了、手里持有农业银行的散户千万千万不要卖出了你们要赚大钱的。	
04-15 	12191	0	银行股特大利好：央行：境外机构投资银行债市无限制	银行股特大利好：央行：境外机构投资银行债市无限制	
04-14 	10260	0	双汇每股收益1.29元分1.25-敖东每股2.90元分0.30元	双汇每股收益1.29元分1.25-敖东每股2.90元分0.30元 现金奶牛双汇发展也是民营企业-民企吉林敖东怎么就做不到呢？ 双汇发展000895连续5年分红10派十几元-期间还10送10、10转5	
04-14 	9378	0	好久没回来看了，农行还是怎么激情的地方。用专业的角度，不要来电视上说的让人听了好	好久没回来看了，农行还是怎么激情的地方。用专业的角度，不要来电视上说的让人听了好像没有说一样。这个贴有问必回。	
04-14 	12229	0	家有千顷，不如一技防身】————翻倍大牛股的四大技巧	授人以鱼不如授人以渔第一：注意捕捉大盘跌时抗跌，涨时比大盘强劲的品种。这种类型的股票一般都有强庄在内，积极呵护股价。而且这种操盘手的风格比较独特，个性突出，不轻易受外围因素影响而变更自己的操作风格。技术指标上看KDJ等参数常常运行在超买区，特立独行的风格明显。第二：“洗得越凶，涨得越猛”。一般讲，强势牛股启动和爆发前，都会有一个明显的，独特的技术K线形态出现。有的股会出现W底或头肩顶的技术形态，有的是属于持续下跌的过程中出现一个量价配合良好的底部特征，显示主力回吃筹码的迹象，而当大众一致看好的时候，突然出现迅猛的砸盘迹象，技术走势上，在临近收盘的最后半小时，股票价格突然破位，大幅跳水，而第二天一举高开高走的品种，往往就是主力结束洗盘强劲拉升的重要信号。第三：政策面和基本面，出现对该股或某个行业板块持续的向好扶植政策，促使这类股票提前于大盘结束整理的品种，先大盘而动的龙头品种，这些股往往能够成为一个中期局势向好的强势牛股。第四：以横盘代替调整的个股。一般说，大盘经过一定的涨幅后，必然要进行合理的震荡整理，消化获利盘的打压再进行以后的持续上行，通常指数会有15-20%的调整幅度。但是，在大盘调整的过程中，有少数的强势牛股是拒绝回调的，主力庄家非常看好该股的后市，主力庄家害怕筹码丢失，都是成为这些股票拒绝调整回落的重要理由，因此说，这些以横盘方式代替回落调整的个股，往往就是下一行情阶段的强势牛股。【趋势揭秘】今日，两市小幅高开后震荡整理，沪指盘中翻绿补缺，午后，两市稳步拉升，基本上以当天最高点收盘。盘面上，次新股、网络游戏板块表现强势，而昨天火爆的煤炭、有色板块回调明显，再一次证明了盲目追高就是找套。。今年的选股难度超过以往，不是自己没有进步，而是庄家越来越狡猾，想赚钱，必须花功夫做好功课选股【近期追踪】★★1、先说说4月7为所有粉丝盘前推送的金股千山药机。目前收益也有20%了把，佬股推出之前都明确说明。32.2元上方没有套牢筹码分布，抛压很小的。上方一马平川，天高任鸟飞。还是那句话做这类股一定紧盯大盘，大盘涨，它会猛涨。大盘回调会引发一些获利盘了解。★★2、本月8号早盘前送出的楚江新材，8号开盘后快速定位，稳步冲击涨停，昨日上涨4个点，帖子同样也提示大家今日逢高出手。但今天一度低位横盘，不过同样佬股也是规避风险，落袋为安。★★3.昨日早盘给出的冠福股份，盘中一度冲击涨停，截至收盘收益7个点，昨日放量即形态都不错今日仍有收获。明日关注60日线跌破出手，落袋为安！★★4.昨日跟随外围消息介入的罗平锌电。今日再次开盘放量但股价未能有效上涨，形成背离，佬股跟着也就了结。★★5.今日佬股看好介入：中线品种：高盟新材300200盘中快速拉升，建议继续持有。老样子，跟着我的朋友赚钱是非常开心的了，每天将获得“锦囊妙计”！牛股推送有兴趣可以亲自体验一把	
04-14 	9574	0	大盘马上到了重压区，银行不价值回归，大盘必暴跃，3200.只有银行也必须是银行才	大盘马上到了重压区，银行不价值回归，大盘必暴跃，3200.只有银行也必须是银行才能担此重任，但银行能分红，短期长跌无防，千股下跌成定式	
04-14 	10060	0	为什么，在股市里赔钱的占多数，一个字贪，总怕自己挣得多，而被庄玩弄于手掌之中，农	为什么，在股市里赔钱的占多数，一个字贪，总怕自己挣得多，而被庄玩弄于手掌之中，农行这稳挣不赔的总闲瘦，	
04-14 	9292	0	中国股市，晚分红，少分红，不分红.是否合法?	中国股市，晚分红，少分红，不分红.是否合法?什么时间银行股，有好的分红，股市就大涨【应该取消红利税，强制年分红70%引导股市，价值投资】网络就是辅助工具，中国的发展不可能靠网络，还是要靠实体经济。中国肯定会发展，任何不分红的股票,都是骗钱耍流氓.民生银行分红了，相信民生银行，不会跌多少了【就是不买，中小盘和垃圾股】宁波银行,农业银行也是好股票。	
04-14 	6401	0	特别关注广发证券尾盘异动拉升券商集体异动异动爆牛市信号…券商发力尾盘强攻      破周四魔咒       牛市从今天开启       游资	特别关注广发证券尾盘异动拉升券商集体异动异动爆牛市信号…券商发力尾盘强攻 破周四魔咒 牛市从今天开启 游资机构猛买华泰广发中信	
04-14 	18518	0	美国银行每股13.79美元，每股收益1.38美元。汇丰控股每股49.15港元，每	美国银行每股13.79美元，每股收益1.38美元。汇丰控股每股49.15港元，每股收益5.04港元。换算人民币，股价远超工农中建股价，要么美股价格偏高，要么A股价格偏低。	
04-14 	7847	0	一个超级跑车的牌子,产量稀少,随便一辆都是2000万起步的价格	一个超级跑车的牌子,产量稀少,随便一辆都是2000万起步的价格	
04-14 	10905	0	虽然农业银行总股本3240亿的总股本河北信盈1.8亿的资金进来这点筹码还不够信盈一家买呢	农业银行太渺小了；资产重组河北信盈1.8亿的资金收购了农业银行小盘股啊、别的机构也在买进股权争夺站啊、我个人也买进3000万股抢筹码哈我就看好农业银行会到100元以上去滴哈。	
04-14 	9349	0	11家上市银行全景图：不良贷款大幅攀升 坏账水平或被低估	11家上市银行全景图：不良贷款大幅攀升 坏账水平或被低估2016年04月14日 02:30来源： 编辑：网手机免费看热点个股|字体：大中小|我有话说【11家上市银行不良贷款全景图：拐点尚未出现】商业银行经营中最让投资者担心的，莫过于不良贷款。从已披露的11家A股上市银行2015年年报来看，多数银行净利润增速被压至个位增长甚至接近零增长。除利差下滑外，各行为资产质量恶化而大幅计提资产减值损失，成为利润增速下滑的主要原因。目前，坏账爆发形势仍无明确的反转迹象。　　商业银行经营中最让投资者担心的，莫过于不良贷款。从已披露的11家A股上市银行2015年年报来看，多数银行净利润增速被压至个位增长甚至接近零增长。除利差下滑外，各行为资产质量恶化而大幅计提资产减值损失，成为利润增速下滑的主要原因。目前，坏账爆发形势仍无明确的反转迹象。　　不良贷款的生成存在滞后现象。恰如交行董事长牛锡明此前总结的信贷大投放后的资产质量变迁规律，即“357”效应——3年出现不良、5年风险爆发、7年大量损失。　　2009年到2011年，信贷出现大投放现象。2013年以来不良贷款余额和不良贷款率双升，2014年不良率达到1.3%——牛锡明认为，信贷大投放后的“357”效应仍在发酵中，预计未来几年不良还将继续双升，还将持续侵蚀银行业利润。　　业内人士表示，从目前情况来看，不良贷款持续大幅攀升、关注类贷款增长及下迁趋势明显，说明不良贷款的攀升还将持续一段时间，暂未出现所谓的拐点。更应关注的是银行在进行不良认定时，某种程度上隐藏或延迟了不良贷款生成，这也使得坏账水平可能被低估。　　不良贷款大幅攀升　　11家上市银行去年不良贷款余额和不良贷款率均出现持续大幅攀升。　　截至去年末，11家上市银行不良贷款余额达9388.23亿元，比2014年末增加超过3000亿元，增幅达48.72%，创金融危机后增幅新高。其中，工农中建四大行由于整体贷款规模较大，不良贷款余额绝对水平较高。增幅方面，农行、招行、平安银行分列前三位，不良贷款增幅均高于68%。　　不良率方面，11家上市银行中，农行、招行及浦发银行的升幅最大，分别达0.85个百分点、0.57个百分点和0.5个百分点。截至去年末，不良率最高且显著高于2%的仅有农行，达2.39%。　　与此同时，根据银监会数据，自2011年四季度以来，商业银行(法人口径)不良率连续16个季度反弹，不良双升状态持续整整4年。截至去年末，商业银行不良贷款余额12744亿元，较年初增加4318亿元；商业银行不良率1.67%，较年初上升0.42个百分点，明显高于过去几年的增幅。　　海通证券宏观、固定收益首席分析师姜超此前在研报中表示，随着市场化程度的进一步提高，中国银行业不良率对经济状况的反映程度将不断提高，而经济仍在探底，短期内不良率仍有继续上升的动力。　　关注类贷款增长明显　　关注类贷款介乎正常贷款与不良贷款之间，再加上某些银行为了让不良数据更好看而把一些存在不良隐患的贷款搬到关注类贷款中的行为，因此，关注类贷款的规模及占比也被视作判断不良贷款走势的前瞻性指标。　　四大行中，工行关注类贷款增幅较为明显，达到62.76%，远高于其他几大行，该行关注类贷款占比亦上升1.46个百分点至4.36%；其他股份行中，关注类贷款余额增幅最为明显的是民生银行、光大银行及招行。其中，后两者增幅均略高于58%；民生银行关注类贷款余额则较2014年末大增110.43%至755.47亿元，关注类贷款占比的变动幅度也在11家银行中位列第一。　　除了关注类贷款余额增幅及占比变化外，有银行人士认为，银行贷款迁徙率能更动态反映资产质量变化趋势。　　一些银行关注类贷款迁徙率大幅变动，已引起业内人士的高度关注。2014年，11家上市银行关注类贷款迁徙率平均值是21.09%，到2015年末，这一数据变为29.8%。其中，四大行除工行关注类贷款迁徙率接近30%外，其余三大行迁徙率均低于23%，处于上市银行较低水平。但不容忽视的是，四大行关注类贷款迁徙率在11家上市银行中升幅最为明显，其中，农行关注类贷款迁徙率较2014年增加13.29个百分点至18.28%，中行、工行此项数据升幅分别超100%、70%。　　有趣的是，建设银行关注类贷款占比较2014年末下降0.8个百分点至2.89%。但不容乐观的是，该行关注类贷款迁徙率较2014年翻番至20.58%。　　分析人士认为，关注类贷款规模和迁徙率的继续增加，说明不良贷款的攀升还将持续一段时间，暂未出现拐点。　　不良认定标准不一　　对于不良贷款的界定，国际信用评级机构穆迪此前研报表示，中国银行业对不良贷款的界定有所放松，坏账情况可能被低估。　　穆迪给出的理由是，从十余家上市银行半年报来看，90天以上逾期贷款占比较2014年上升了77个基点，远高于根据官方数据计算的商业银行总体不良贷款率增长。这说明，部分逾期90天以上的贷款并未被确认为坏账，坏账水平可能被低估。　　事实上，外界近年对“不良贷款/逾期90天以上贷款”这个指标已经越来越重视。总的来说，这个比值如果低于1，就意味着银行在某种程度上隐藏或延迟了不良贷款生成。　　从11家上市银行情况看，四大行该比值均大于1.1。其中，建行达到1.62。　　股份行中，除招行将所有逾期90天以上贷款列入不良、中信银行接近全部列入不良外，其余股份行该比值普遍低于0.8，其中平安银行仅为0.52。当然，该行被诟病较多的不良认定不严格的问题已有所改善，去年末“不良贷款/逾期90天以上贷款”比值达到近两年以来的较高水平。　　除平安银行外，“不良贷款/逾期90天以上贷款”比值出现上升的还有浦发银行、中信银行。这表明银行贷款分类审慎程度有所提升。(责任编辑：DF099)	
04-14 	9213	0	农行个股不能最高，跌下来买，高了卖	现阶段银行板块就是股市稳定器，看一下BOLL指标你明白的。每一次放量【那一天放大阳后回调即买入时机】冲高都得回调。冲高减仓，逢低加仓。不加不减持股待涨。	
04-14 	10357	0	一看盘口，就知道是国家队在压盘	尼玛这么害怕指数暴涨？垃圾股不压，压价值股，怪不得人家国外称中国股市是个垃圾股市。	
04-14 	8083	0	重磅！IMF：中国银行业不良贷款可能占到GDP的7%-	重磅！IMF：中国银行业不良贷款可能占到GDP的7%-	
04-14 	10816	0	你去农行实际参观一下就会发现职员服务态度很好，农行的失败是给典型的无能国企人员管	你去农行实际参观一下就会发现职员服务态度很好，农行的失败是给典型的无能国企人员管理所以死气沉沉。如果有私人企业入股后由私企耒管理或者是共同管理→农行立刻不一样。所有的国企都必须要有私人企业入股然后由私人上市机构耒管理才能禁止国有企业被贪官私有化。	
04-14 	10441	0	农业银行实际流通盘也就2000亿	剔除前10大股东实际流通盘也就2000亿	
04-14 	15203	0	今日防止一件事!	昨日回顾市场高开，随后指数则是一度冲击了3100点，煤飞色舞的启动更是将两市的成交量推升到了8000亿之上，但是午后最后一个小时市场的走势则显得不那么乐观，最终大盘收出带上影线的中阳线，这样的市场周四会怎样？今日消息面国务院决定全国降低社保费率企业减负1000亿元；央行：为保持流动性合理充裕 开展MLF操作2855亿；国务院2016年立法计划：制定上市公司监督管理条例；中国监管机构或降低QFII投资额度或6月完成清理；发改委拟组织实施2016年“互联网+”重大工程；发改委：一季度经济有望实现“开门红”;欧美股指普涨…消息面上，欧美股指整体走高，国内消息面则继续稳健，预计大盘再度出现冲高走势的概率大。技术分析：技术上看，大盘沪指周三站稳3000点，创业板则是在尾盘再度失守2300点，日线的多天均线继续被多头掌控，60分钟分时图走势不太乐观，技术上看指数周四又将是一个上蹿下跳的行情。今日大盘下档第一支撑位在3030点，第二支撑位在3000，上档第一压力位在3080点，第二压力位在3100点。今日走势欧美股指整体表现较好，国内消息面相对平稳，预计大盘平开或小幅高开的可能性大，整体看日线依然会有寻求冲击3100点的可能。3050点的争夺将会在今日继续上演，整体看日线在经历了周三的冲高回落后，将会继续寻求冲击3100点的可能性大。今日关注行业板块关注券商、教育传媒、医药、计算机、电子信息、化工化纤、通信、保险和煤炭石油等板块，概念板块关注锂电池源、充电桩和大数据概念等概念，区域板块关注深圳本地股、上海自贸区和西藏概念等区域概念。今日操作 市场表现依然是反复和震荡，对于持股的只要市场不跌破3000点继续持股为好，在市场突破3050点之后可以适当的增加一些仓位，对于依然没有买入和操作的可以寻求滞涨概念股的机会，市场的震荡和反复将会持续，仓位上建议控制在六成仓仓左右。具体操作依然是不追涨，不杀跌。对于今日大盘来说，认为周三的早盘反弹有几方面的原因，一是近期大宗商品走势确实喜人，这间接带动了资源股的强势，当然这类股长期的弱于大市也是一个主要因素；二是大盘底部的逐渐抬高，由于形式上市场具备了进一步震荡上行的局面，因此出现反弹也就是水到渠成的事情了。但是昨日市场的强势中也透露出一丝不安稳的信号，那就是尾盘一个小时的回落，不仅吞噬掉大部分反弹指数，也让创业板再度回到2300点之下，由于周五市场将再度迎来股指期货交割，因此周四市场出现上蹿下跳的走势将无法避免，而在周三多单平仓后，周四会不会是出现空单集中砸盘平仓的局面将是我们重点防备的一件事，因为一旦出现这样的情况，黑周四将会再度不可避免。	
04-14 	12824	0	最新消息好事不断大家要高度注意了	601288资产重组农村联社；向村镇开设银行、给农民发行信用卡等系列资产重组、河北信盈资产管理股份有限公司出资1.8万亿收购了中国农业银行、农业银行要大暴涨了股价要上100元的。大家可高度注意。	
04-14 	8477	0	进入21世纪，多了一个妇科收宫技术，你看农行的操盘手象不象 妇产科的老师，哈哈，	进入21世纪，多了一个妇科收宫技术，你看农行的操盘手象不象妇产科的老师，哈哈，你还应加上扩宫术才行	
04-14 	8858	0	囯际的生意买卖一般惯例是如果一个公司每年能赚10万，它就能卖10到20倍(100	囯际的生意买卖一般惯例是如果一个公司每年能赚10万，它就能卖10到20倍(100到200万)。大亚洲银行香港汇丰的市净率0.83每股赚5元派息约3.4%，现在的股价是48元/股。农行的市净率0.85 每股賺0.56元，派息约5.4%，合理每股的股价应该在5.6元到11.2元。但现在股价只有3.2元。	
04-13 	9208	0	明天百点长阴，千股下跌，上长重压区无量上，下来寻支撑	明天百点长阴，千股下跌，上长重压区无量上，下来寻支撑	
04-13 	9808	0	转战港股01288农行（2.84港币相当于2.32人民币）相对A农行3.19元折	转战港股01288农行（2.84港币相当于2.32人民币）相对A农行3.19元折价6.5折，且流通盘是A股十分之一不到才八百亿。投资农行的都是风险偏好较低的投资者，港股农行更具优势。	
04-13 	9972	0	重要，，，，，，，，，，，，，， 重要，，，，，，，，，，，，，，农行未来的走势	重要，，，，，，，，，，，，，， 重要，，，，，，，，，，，，，，农行未来的走势，，，，，，，，，三十曰必到3.45，，，，，，，，，六十曰必到3.70	
04-13 	13056	0	年收益0.55元，每周一分，十万元可买三万多股，周增值300元比存在银行多，多了	年收益0.55元，每周一分，十万元可买三万多股，周增值300元比存在银行多，多了。现在净资产3.48元，到月底就3.60元，分红时六七月，就得3.7元行	
04-13 	11720	0	农行骗太原五百人理财，血本无归，最后农行说不是农行办的理财，签合同的也不是农行而	农行骗太原五百人理财，血本无归，最后农行说不是农行办的理财，签合同的也不是农行而是一个小公司，毫无信用可言的农行，大家还买它股票？	
04-13 	9372	0	大盘马上到了重压区，银行不价值回归，大盘必暴跃，3200.只有银行也必须是银行才	大盘马上到了重压区，银行不价值回归，大盘必暴跃，3200.只有银行也必须是银行才能担此重任，但银行能分红，短期长跌无防，千股下跌成定式	
04-13 	5356	0	A股小散户，赌场大飞侠——国改钱包，券商最爱	天朝小散户都是A股赌场大侠！而且还是越赔越赌，直至倾家荡产。中国有句老话，叫做：自作孽，不可活。实际上A股暴涨暴跌都是小散大侠自己在作孽，机构无非是借机推波助澜、放大效应而已。即使监管层想保护这些大侠，也是异想天开。这些大侠们自命都有抄底逃顶的本领，都有T+0就翻番的神通，能接受你的保护吗？简直是笑话：）	
04-13 	6792	0	100股抛单？	放在3.20元，50笔中有12笔100股抛？	
04-13 	10061	0	★当前行情正确的仓位操作！★	【盘面浅析】受夜盘商品期货大涨带动，早盘资源股集体走强，受此带动，沪指高开高走，再创反弹新高，今日成交量明显放大，乐观情绪升温。截至中午收盘，沪指上涨2.08%报3086点，深成指上涨2.18%报10762点，创业板上涨2.29%报2315点。盘面上看，军工、创投、中韩自贸区、上海本地股等板块涨幅居前。基因测序、钛白粉、国产软件等板块跌幅居前。沪股通净流入逾24亿，连续5个交易日累计流入超50亿。【操作策略】市场对于空仓者。踏空不可取。建议至少参与行情。看好某只个股，涨幅不大者，或近期回调几日的，可以逢低进入底仓1-2成。做个超短。若遇回落，支撑附近加仓，整体仓位不超过3成即可。不要和自己较劲，空仓和满仓都是错误的操作方式。【温馨提示】笔者的分析只是自己的操作体会，希望可以帮到迷茫中的你。更多个股问题或是有不同见解者也可以一起交流，共同学习！	
04-13 	7208	0	沪股通半日净流入24亿元	沪股通半日净流入24亿元	
04-13 	6462	0	今天能不能收个光头光脚大阳线 (大家瞎扯)下?	今天能不能收个光头光脚大阳线 (大家瞎扯)下?	
04-13 	10660	0	操你妈的中国移动	操你妈的中国移动，有人用10086给我发广告，还有中国农业银行95599，不止一次两次了	
04-13 	17655	0	未来此板上升至少50%,试点股应是80%	“债转股”在中国并不是新概念，20世纪末，“债转股”曾经在我国处置银行不良资产时大量采用，被视为国企解困三大政策之一,未来银行板块上升至少有50%空间,农行是“债转股”试点,应上升80%	
04-13 	38836	0	农业银行 出现大单买入交易	农业银行 出现大单买入交易，看来国家队今天是要用金融股拉抬和维持指数了。现在看今天大盘指数高点基本就这样了，下面该个股表演了。中石油并没有突破，中石油应该站上8￥才有下一波行情。现在还没有发作。	
04-13 	7732	0	东方财富网络又坏了，可以上网就是登陆不进去，爱咋咋地，反正是小散	网络又坏了，可以上网就是登陆不进去，爱咋咋地，反正是小散	
04-13 	9903	0	3.19拿下，正国风战役开战，行股市正风暴，大了说爱国，实则保卫自己的财产，自己	3.19拿下，正国风战役开战，行股市正风暴，大了说爱国，实则保卫自己的财产，自己的身心	
04-13 	10884	0	长牛选择,转型升级之股	“新一轮国企国资改革有赖于多层次资本市场，除了通过资本市场改制上市成为规范的公众公司，国企上市公司以及控股子公司通过兼并重组、资产证券化来推动相关产业转型升级，才能真正构建一批具备国际竞争力的优秀的国有企业。”互联网时代的到来,传统行业将会受替换,一些原来垄断的行业也会四处受敌,从年报情况可以看出,银行,电信,这二大板块受害最为严重,而这二大板块才是真正代表国企的实力,现处于不改革便倒退的时候,而且后果严重,从一些公司的动作可以看出到;他们正在寻求突破,债转股可能会变为现实,一旦实施,这一金鼎将会被民企所瓜分,才能真正具备国际竞争力。现在银行电信,资产质量优秀,股价总处低位,若是打开城墙,将会大放光彩,值得留意。	
04-13 	10462	0	不用的闲钱拿出来，90换100还不干，放着还缩水	不用的闲钱拿出来，90换100还不干，放着还缩水	
04-13 	11315	0	大盘马上到了重压区，银行不价值回归，大盘必暴跃，3200.只有银行也必须是银行才	大盘马上到了重压区，银行不价值回归，大盘必暴跃，3200.只有银行也必须是银行才能担此重任，但银行能分红，短期长跌无防，千股下跌成定式	
04-13 	9363	0	中国农行正能量！全面做多中国股市！真给力！	中国农行正能量！全面做多中国股市！真给力！	
04-13 	6059	1	做为小散的，弱势群体，无信息，无技术，就买能分红的最保险，	做为小散的，弱势群体，无信息，无技术，就买能分红的最保险，	现在3.17己是九折了，，， 
